,CXOGBS,GBS_NAME,X_RAJ2000,e_RAJ2000,X_DEJ2000,e_DEJ2000,X_COUNTS,ObsID,OAxis,Ndet,X_ERR_R,HR,e_HR
350,J175550.2-280705,CX351 ,268.9592,0.21,-28.11829,0.2,7,8737,1.7,1,1.22813304158,0.0,0.0
351,J175537.1-281759,CX352 ,268.90469,0.44,-28.29996,0.39,7,8736,5.98,1,2.98961716074,0.0,0.0
352,J175520.1-281944,CX353 ,268.83385,0.22,-28.32913,0.28,7,8736,1.89,1,1.26641650645,0.0,0.0
353,J175352.6-282513,CX354 ,268.46955,0.56,-28.42034,0.57,7,8725,6.19,1,3.14404369687,0.0,0.0
354,J175334.9-291004,CX355 ,268.39569,0.48,-29.1678,0.22,7,8732,7.28,1,4.12866937013,0.0,0.0
355,J175333.1-285910,CX356 ,268.388,0.27,-28.9862,0.2,7,8733,2.86,1,1.49365684406,0.0,0.0
356,J175300.6-292323,CX357 ,268.25286,0.47,-29.38984,0.6,7,8731,7.31,1,4.16791443864,0.0,0.0
357,J175257.7-284059,CX358 ,268.24058,0.23,-28.68319,0.26,7,8723,3.52,1,1.7010028712,0.0,0.0
358,J175232.5-283134,CX359 ,268.13543,0.19,-28.52611,0.28,7,8712,0.55,1,1.0580693587,0.0,0.0
359,J175114.4-291912,CX360 ,267.81023,0.19,-29.32009,0.18,7,8720,2.81,1,1.48523088031,0.0,0.0
360,J175107.6-294037,CX361 ,267.78191,0.64,-29.67708,0.67,7,8753,8.66,2,5.88492232471,0.0,0.0
361,J175037.5-294045,CX362 ,267.65641,0.15,-29.67925,0.17,7,8753,2.24,1,1.33727737131,0.0,0.0
362,J175033.7-292133,CX363 ,267.64049,0.31,-29.35921,0.23,7,7161,3.0,1,1.53606990981,0.0,0.0
363,J174750.9-304908,CX364 ,266.96231,0.58,-30.81911,0.54,7,8758,7.78,1,4.68911620328,0.0,0.0
364,J174736.3-255825,CX365 ,266.90165,0.29,-25.97367,0.31,7,8653,3.37,1,1.6570789866,0.0,0.0
365,J174711.8-305504,CX366 ,266.79952,0.1,-30.91789,0.08,7,8759,1.72,1,1.23572277142,0.0,0.0
366,J174654.6-311549,CX367 ,266.72755,0.2,-31.26377,0.15,7,8771,2.94,1,1.51904929736,0.0,0.0
367,J174644.3-260100,CX368 ,266.68471,0.14,-26.01669,0.09,7,8664,1.36,1,1.1687218522,0.0,0.0
368,J174609.4-314448,CX369 ,266.53948,0.4,-31.74685,0.15,7,8773,4.12,1,1.93416927073,0.0,0.0
369,J174601.1-264945,CX370 ,266.50492,0.43,-26.82932,0.21,7,8649,5.1,1,2.41698381621,0.0,0.0
370,J174540.9-263519,CX371 ,266.42049,0.69,-26.58871,0.4,7,8661,6.89,1,3.74686679344,0.0,0.0
371,J174524.7-264539,CX372 ,266.35325,0.27,-26.76084,0.29,7,8649,4.07,1,1.91598819616,0.0,0.0
372,J174522.8-264241,CX373 ,266.34504,0.62,-26.71147,0.59,7,8649,6.49,2,3.38637132752,0.0,0.0
373,J174403.8-314709,CX374 ,266.01598,0.45,-31.78608,0.27,7,8752,7.11,1,3.96204628542,0.0,0.0
374,J174357.8-271034,CX375 ,265.99117,0.37,-27.17613,0.28,7,8658,5.9,1,2.93186131456,0.0,0.0
375,J174348.4-263209,CX376 ,265.95187,0.23,-26.53601,0.21,7,8671,5.47,1,2.64458139746,0.0,0.0
376,J174316.5-274537,CX377 ,265.81884,0.29,-27.76038,0.17,7,8644,5.16,1,2.45475268975,0.0,0.0
377,J174227.8-272007,CX378 ,265.61584,0.62,-27.33547,0.55,7,8667,7.62,1,4.50203407004,0.0,0.0
378,J174116.6-275524,CX379 ,265.31946,0.22,-27.9235,0.28,7,8654,3.73,1,1.78087359681,0.0,0.0
379,J174053.9-284434,CX380 ,265.22482,1.42,-28.74291,1.06,7,8677,8.55,1,5.72645708687,0.0,0.0
380,J174023.8-271742,CX381 ,265.09952,0.36,-27.29514,0.53,7,10005,7.31,1,4.16791443864,0.0,0.0
381,J173917.6-282957,CX382 ,264.82341,0.29,-28.49925,0.62,7,8699,7.93,1,4.87642397335,0.0,0.0
382,J173908.3-284250,CX383 ,264.78464,0.16,-28.71394,0.2,7,8689,1.19,1,1.13996086241,0.0,0.0
383,J173849.1-274846,CX384 ,264.70499,0.47,-27.81282,1.1,7,10001,10.02,1,8.38843911391,0.0,0.0
384,J173746.1-294156,CX385 ,264.44231,0.21,-29.69899,0.34,7,8682,5.08,1,2.40755285878,0.0,0.0
385,J173743.2-285304,CX386 ,264.43012,0.15,-28.88469,0.12,7,8701,2.9,1,1.51056637319,0.0,0.0
386,J173705.6-292452,CX387 ,264.27349,0.62,-29.41471,0.45,7,8692,7.54,1,4.41350323075,0.0,0.0
387,J173659.3-290603,CX388 ,264.24715,0.1,-29.10103,0.13,7,8702,0.91,1,1.10499356008,0.0,0.0
388,J173652.1-295817,CX389 ,264.21725,0.27,-29.97155,0.19,7,8683,3.08,1,1.56173325758,0.0,0.0
389,J173607.5-294858,CX390 ,264.03134,0.31,-29.81623,0.26,7,8694,6.62,1,3.503071619,0.0,0.0
390,J173606.4-300311,CX391 ,264.02687,0.32,-30.05309,0.27,7,8684,4.24,1,1.9889220115,0.0,0.0
391,J173551.3-285646,CX392 ,263.96395,0.51,-28.94629,0.5,7,10018,6.04,1,3.0281695408,0.0,0.0
392,J173530.8-291832,CX393 ,263.87842,0.26,-29.30891,0.18,7,9996,2.15,1,1.3213291671,0.0,0.0
393,J173518.1-291102,CX394 ,263.82553,0.45,-29.18408,0.53,7,9996,7.18,1,4.03062163541,0.0,0.0
394,J173418.8-292834,CX395 ,263.57872,0.82,-29.47626,0.54,7,9997,6.14,2,3.10538415785,0.0,0.0
395,J173411.3-292732,CX396 ,263.54737,0.35,-29.45917,0.77,7,9997,7.99,1,4.95535172998,0.0,0.0
396,J173359.5-294947,CX397 ,263.49792,0.65,-29.82979,0.49,7,9998,8.46,2,5.58787175657,0.0,0.0
397,J173345.1-293216,CX398 ,263.43822,0.27,-29.53795,0.17,7,10021,2.95,1,1.51904929736,0.0,0.0
398,J175454.4-273517,CX399 ,268.72686,0.21,-27.58822,0.49,7,8717,5.54,1,2.68272450464,0.0,0.0
399,J174838.2-300728,CX400 ,267.15939,0.36,-30.12458,0.15,7,8744,4.91,1,2.31350616334,0.0,0.0
400,J174433.9-255705,CX401 ,266.14125,0.29,-25.95153,0.28,7,9987,3.16,1,1.58754866628,0.0,0.0
401,J173533.2-302336,CX402 ,263.88845,0.33,-30.39355,0.35,7,8685,4.93,1,2.32288845359,0.0,0.0
402,J175306.5-290530,CX403 ,268.27723,0.22,-29.09178,0.18,6,8732,3.04,1,1.63960689429,0.0,0.0
403,J175259.3-291210,CX404 ,268.24745,0.16,-29.20298,0.19,6,8732,3.82,1,1.93416927073,0.0,0.0
404,J174836.1-302839,CX405 ,267.15051,0.4,-30.47772,0.1,6,8757,4.66,1,2.3322758773,0.0,0.0
405,J174830.6-302446,CX406 ,267.12783,0.4,-30.41289,0.54,6,8756,8.08,1,5.4592500188,0.0,0.0
406,J174741.8-310301,CX407 ,266.92455,0.28,-31.05028,0.28,6,8770,2.89,1,1.59618631989,0.0,0.0
407,J174644.4-303426,CX408 ,266.68534,0.52,-30.5739,0.6,6,8746,7.49,1,4.68911620328,0.0,0.0
408,J173957.3-283417,CX409 ,264.98894,0.19,-28.57164,0.21,6,8688,3.51,1,1.80770870657,0.0,0.0
409,J173736.9-280903,CX410 ,264.40404,0.16,-28.15106,0.16,6,10014,2.63,1,1.51056637319,0.0,0.0
410,J173710.2-292616,CX411 ,264.2925,0.31,-29.43796,0.51,6,8692,8.08,1,5.4592500188,0.0,0.0
411,J173644.0-285336,CX412 ,264.18363,0.4,-28.89347,0.36,6,9994,3.22,1,1.7010028712,0.0,0.0
412,J175809.3-271410,CX413 ,269.53904,0.98,-27.23633,0.49,6,8741,6.83,1,3.97183972081,0.0,0.0
413,J175709.7-273249,CX414 ,269.29071,0.16,-27.54715,0.18,6,8740,2.34,1,1.43509956721,0.0,0.0
414,J175629.9-270816,CX415 ,269.12484,0.28,-27.13795,0.26,6,8719,2.92,1,1.60483979506,0.0,0.0
415,J175435.1-281152,CX416 ,268.64642,0.17,-28.19781,0.47,6,8726,4.01,1,2.01641036692,0.0,0.0
416,J175427.7-280749,CX417 ,268.6156,0.21,-28.13029,0.15,6,8726,2.86,1,1.57892709389,0.0,0.0
417,J175418.4-284041,CX418 ,268.57695,0.39,-28.6782,0.22,6,8734,4.35,1,2.17343294532,0.0,0.0
418,J175417.4-282531,CX419 ,268.57259,0.26,-28.42549,0.27,6,8725,5.76,1,3.0378134847,0.0,0.0
419,J175411.1-274346,CX420 ,268.54661,0.36,-27.72951,0.54,6,8716,6.79,1,3.93267221718,0.0,0.0
420,J175403.0-282120,CX421 ,268.5128,0.28,-28.35577,0.31,6,8725,1.73,1,1.28977159521,0.0,0.0
421,J175350.0-285815,CX422 ,268.45843,0.38,-28.97099,0.15,6,8733,3.8,1,1.92507422398,0.0,0.0
422,J175348.4-284339,CX423 ,268.45178,0.24,-28.72763,0.21,6,8734,4.2,1,2.0992881574,0.0,0.0
423,J175318.9-290030,CX424 ,268.32878,0.31,-29.00848,0.22,6,8733,5.46,1,2.8262184572,0.0,0.0
424,J175246.4-290721,CX425 ,268.19336,0.25,-29.12276,0.19,6,8732,3.67,1,1.87069793602,0.0,0.0
425,J175236.0-291939,CX426 ,268.15022,0.25,-29.32773,0.1,6,8731,1.55,1,1.25869407237,0.0,0.0
426,J175234.5-292447,CX427 ,268.14392,0.21,-29.41312,0.1,6,8731,4.45,1,2.21997990257,0.0,0.0
427,J175232.8-283748,CX428 ,268.1369,0.35,-28.63001,0.15,6,8712,5.7,1,2.98961716074,0.0,0.0
428,J175232.4-282101,CX429 ,268.13521,0.34,-28.35033,0.55,6,8713,7.33,1,4.50203407004,0.0,0.0
429,J175228.2-284516,CX430 ,268.11777,0.6,-28.75461,0.41,6,8723,7.89,1,5.20221210331,0.0,0.0
430,J175227.6-292523,CX431 ,268.11539,0.4,-29.42315,0.27,6,8731,4.96,1,2.50206130377,0.0,0.0
431,J175119.2-285308,CX432 ,267.83003,0.29,-28.88574,0.24,6,8710,3.6,1,1.84364062871,0.0,0.0
432,J175114.9-292518,CX433 ,267.8121,0.22,-29.42168,0.41,6,8720,5.48,1,2.83580866206,0.0,0.0
433,J175110.6-290118,CX434 ,267.79445,0.58,-29.02168,0.31,6,8710,6.37,1,3.53228124133,0.0,0.0
434,J175058.9-290830,CX435 ,267.74582,0.29,-29.14168,0.07,6,8709,0.86,1,1.13996086241,0.0,0.0
435,J175054.1-294327,CX436 ,267.72575,0.36,-29.7242,0.18,6,7168,3.57,1,1.83464186364,0.0,0.0
436,J175002.6-301943,CX437 ,267.51098,0.17,-30.32885,0.15,6,8766,2.85,1,1.57892709389,0.0,0.0
437,J174948.0-295127,CX438 ,267.45017,0.17,-29.85765,0.1,6,8754,2.66,1,1.51904929736,0.0,0.0
438,J174840.7-305551,CX439 ,267.16978,0.9,-30.93111,0.23,6,8769,6.42,1,3.58099298628,0.0,0.0
439,J174740.7-310536,CX440 ,266.91963,0.38,-31.09349,0.14,6,8770,0.49,1,1.08457861302,0.0,0.0
440,J174738.0-305152,CX441 ,266.90869,0.8,-30.86453,0.28,6,8759,6.75,1,3.88373670166,0.0,0.0
441,J174723.1-301913,CX442 ,266.84628,0.26,-30.32047,0.29,6,8745,4.85,1,2.44530381912,0.0,0.0
442,J174715.5-302157,CX443 ,266.81472,0.58,-30.36606,0.4,6,8746,7.57,1,4.78767279248,0.0,0.0
443,J174642.1-313651,CX444 ,266.67561,0.48,-31.61417,0.51,6,8772,7.49,1,4.68911620328,0.0,0.0
444,J174629.7-261802,CX445 ,266.62408,0.61,-26.30058,0.41,6,8663,7.0,1,4.13847928203,0.0,0.0
445,J174627.1-254952,CX446 ,266.61313,0.28,-25.83114,0.15,6,8675,3.0,1,1.63089262915,0.0,0.0
446,J174623.8-260525,CX447 ,266.59927,0.53,-26.0903,0.71,6,8664,7.71,1,4.96522011273,0.0,0.0
447,J174609.3-264012,CX448 ,266.53896,0.51,-26.67022,0.14,6,8650,4.29,1,2.14557935482,0.0,0.0
448,J174559.3-261043,CX449 ,266.49724,0.28,-26.17886,0.34,6,8663,3.74,1,1.89784371533,0.0,0.0
449,J174554.3-312117,CX450 ,266.47647,0.21,-31.35475,0.26,6,8761,3.92,1,1.97063714768,0.0,0.0
450,J174546.7-314021,CX451 ,266.44484,0.22,-31.67273,0.23,6,8773,2.51,1,1.47682455553,0.0,0.0
451,J174545.8-310827,CX452 ,266.44115,0.32,-31.14098,0.27,6,8749,4.8,1,2.41698381621,0.0,0.0
452,J174541.5-313859,CX453 ,266.42294,0.21,-31.6499,0.45,6,8773,4.23,1,2.11778440069,0.0,0.0
453,J174525.1-263908,CX454 ,266.35464,0.24,-26.65223,0.25,6,8661,4.76,1,2.38870483062,0.0,0.0
454,J174442.9-254932,CX455 ,266.17892,0.4,-25.82573,0.55,6,9988,7.76,1,5.03431333628,0.0,0.0
455,J174437.3-253528,CX456 ,266.15576,0.21,-25.59135,0.12,6,10013,2.17,1,1.39391921137,0.0,0.0
456,J174359.7-263404,CX457 ,265.99899,0.11,-26.56789,0.16,6,8671,2.3,1,1.42681840744,0.0,0.0
457,J174353.1-260300,CX458 ,265.97143,0.46,-26.05004,0.2,6,10011,4.72,1,2.36987568615,0.0,0.0
458,J174307.8-261223,CX459 ,265.78284,0.21,-26.20643,0.22,6,10010,1.46,1,1.23572277142,0.0,0.0
459,J174300.0-274124,CX460 ,265.75036,0.48,-27.69003,0.47,6,8656,9.78,1,8.49794156063,0.0,0.0
460,J174241.8-273021,CX461 ,265.67452,0.45,-27.50602,0.47,6,8656,6.17,1,3.366943832,0.0,0.0
461,J174241.8-274111,CX462 ,265.67447,0.85,-27.68649,0.27,6,8656,6.89,1,4.03062163541,0.0,0.0
462,J174241.6-260709,CX463 ,265.67371,0.4,-26.11931,0.48,6,10010,7.25,1,4.41350323075,0.0,0.0
463,J174223.0-272807,CX464 ,265.59595,0.75,-27.46889,1.06,6,8657,9.18,1,7.26442088317,0.0,0.0
464,J174206.6-275408,CX465 ,265.52771,0.52,-27.90224,0.3,6,8643,6.3,1,3.47387546809,0.0,0.0
465,J174136.7-281435,CX466 ,265.40317,0.83,-28.24313,0.46,6,8203,6.76,1,3.89352164086,0.0,0.0
466,J174124.0-265755,CX467 ,265.35037,0.62,-26.9654,0.69,6,10006,6.0,1,3.22146096792,0.0,0.0
467,J174107.8-283338,CX468 ,265.28254,0.34,-28.56069,0.12,6,8676,4.35,2,2.17343294532,0.0,0.0
468,J174046.5-283850,CX469 ,265.19407,0.51,-28.64738,0.41,6,9564,6.66,1,3.80549744026,0.0,0.0
469,J174042.6-274143,CX470 ,265.17751,0.17,-27.69555,0.16,6,8665,5.31,1,2.72092094112,0.0,0.0
470,J174030.8-274119,CX471 ,265.12864,0.36,-27.68863,0.3,6,8665,6.86,1,4.00122615804,0.0,0.0
471,J174025.6-270540,CX472 ,265.10697,0.25,-27.09456,0.29,6,10005,4.74,1,2.37928786989,0.0,0.0
472,J174017.2-284349,CX473 ,265.07187,0.16,-28.7304,0.1,6,8677,0.67,1,1.11189512447,0.0,0.0
473,J174003.8-275313,CX474 ,265.01606,0.44,-27.88715,0.39,6,9978,7.84,1,5.13306056538,0.0,0.0
474,J173946.6-282912,CX475 ,264.94448,0.11,-28.48692,0.27,6,8688,2.75,1,1.55316153951,0.0,0.0
475,J173906.8-283353,CX476 ,264.77873,0.45,-28.56475,0.07,6,8699,5.92,1,3.16338596567,0.0,0.0
476,J173857.3-281717,CX477 ,264.73902,0.4,-28.28821,0.3,6,8698,4.75,1,2.38870483062,0.0,0.0
477,J173843.0-283025,CX478 ,264.67919,0.17,-28.50709,0.1,6,8699,1.09,1,1.17601478214,0.0,0.0
478,J173808.6-282853,CX479 ,264.53603,0.43,-28.48163,0.18,6,9992,6.93,1,4.06982932908,0.0,0.0
479,J173801.2-281352,CX480 ,264.50503,0.47,-28.23132,0.43,6,10014,8.01,2,5.36035547029,0.0,0.0
480,J173759.2-280248,CX481 ,264.49672,0.5,-28.0468,0.27,6,10014,5.33,1,2.74003846101,0.0,0.0
481,J173747.8-290412,CX482 ,264.44932,0.29,-29.07002,0.26,6,8691,4.69,1,2.35106587909,0.0,0.0
482,J173731.0-292432,CX483 ,264.37925,0.39,-29.40892,1.22,6,8681,9.28,1,7.45328858745,0.0,0.0
483,J173719.5-293323,CX484 ,264.3314,0.21,-29.55649,0.19,6,8693,5.93,1,3.17306015824,0.0,0.0
484,J173718.7-282925,CX485 ,264.32816,0.28,-28.49045,0.39,6,9992,4.63,1,2.32288845359,0.0,0.0
485,J173643.2-300844,CX486 ,264.18026,0.61,-30.1457,0.48,6,8684,6.46,1,3.61023694068,0.0,0.0
486,J173610.6-283752,CX487 ,264.04418,0.17,-28.63113,0.23,6,10017,4.89,1,2.46420591019,0.0,0.0
487,J173605.3-283232,CX488 ,264.02231,0.37,-28.54229,0.32,6,10016,6.9,1,4.04042210268,0.0,0.0
488,J173603.5-295513,CX489 ,264.01497,0.32,-29.92036,0.28,6,8695,4.06,1,2.03477536053,0.0,0.0
489,J173548.8-300348,CX490 ,263.95341,0.65,-30.06335,0.6,6,8684,6.43,1,3.59073958507,0.0,0.0
490,J173543.3-290313,CX491 ,263.93078,0.19,-29.05376,0.26,6,9995,4.18,1,2.09005042231,0.0,0.0
491,J173521.5-295446,CX492 ,263.83982,0.29,-29.91294,0.19,6,8695,5.08,1,2.57796640161,0.0,0.0
492,J173459.3-294903,CX493 ,263.74728,0.62,-29.81754,0.44,6,8705,7.6,1,4.82711205254,0.0,0.0
493,J173458.8-301328,CX494 ,263.74511,0.8,-30.22469,0.16,6,8697,7.01,1,4.14829010169,0.0,0.0
494,J173447.7-293511,CX495 ,263.6989,0.48,-29.58658,0.18,6,9997,5.21,1,2.66364614163,0.0,0.0
495,J173432.2-292552,CX496 ,263.63419,0.39,-29.43116,0.35,6,9997,5.14,1,2.61601046783,0.0,0.0
496,J173422.1-300505,CX497 ,263.59211,0.32,-30.08492,0.1,6,8707,3.6,1,1.84364062871,0.0,0.0
497,J173419.6-294549,CX498 ,263.58189,0.34,-29.76361,0.3,6,9998,4.45,1,2.21997990257,0.0,0.0
498,J173338.9-294347,CX499 ,263.41212,0.39,-29.72987,0.43,6,10022,7.32,1,4.49219442676,0.0,0.0
499,J173239.3-300222,CX500 ,263.1641,0.34,-30.03962,0.43,6,10000,5.54,1,2.8838014439,0.0,0.0
500,J175252.5-284805,CX501 ,268.21908,0.11,-28.80156,0.21,6,8723,4.59,1,2.29475723505,0.0,0.0
501,J175223.5-282409,CX502 ,268.09824,1.04,-28.40263,0.29,6,8712,8.21,1,5.64725692419,0.0,0.0
502,J174810.9-301727,CX503 ,267.04555,0.22,-30.29084,0.41,6,8745,5.8,1,3.06675900061,0.0,0.0
503,J174553.7-315731,CX504 ,266.47384,0.63,-31.95868,0.48,6,8774,7.69,1,4.945483876,0.0,0.0
504,J174353.3-265353,CX505 ,265.97212,0.93,-26.8981,0.59,6,8659,6.26,1,3.43496881613,0.0,0.0
505,J174045.9-280148,CX506 ,265.19159,0.32,-28.03008,0.19,6,8199,2.22,1,1.40210939938,0.0,0.0
506,J175557.8-270550,CX507 ,268.99121,0.24,-27.09743,0.3,5,8719,4.64,1,2.52101383729,0.0,0.0
507,J175104.7-291825,CX508 ,267.76979,0.19,-29.307,0.35,5,8720,5.06,1,2.78788643381,0.0,0.0
508,J174920.3-292336,CX509 ,267.33466,0.3,-29.39354,0.26,5,7166,4.7,1,2.55896673832,0.0,0.0
509,J174651.8-305651,CX510 ,266.71617,0.19,-30.94763,0.33,5,8759,4.69,1,2.54947264504,0.0,0.0
510,J173754.4-294337,CX511 ,264.47673,0.76,-29.72712,0.16,5,8682,6.64,1,4.12866937013,0.0,0.0
511,J173611.2-294633,CX512 ,264.04691,0.2,-29.77587,0.24,5,8694,4.08,1,2.21065844667,0.0,0.0
512,J175646.0-274547,CX513 ,269.19185,0.1,-27.76327,0.09,5,8739,2.0,1,1.43509956721,0.0,0.0
513,J175637.0-271145,CX514 ,269.15457,0.53,-27.19605,0.61,5,8719,6.08,1,3.58099298628,0.0,0.0
514,J175546.0-275814,CX515 ,268.94195,0.6,-27.97078,0.49,5,8727,7.72,1,5.43946787543,0.0,0.0
515,J175534.9-274759,CX516 ,268.89552,0.5,-27.79977,0.29,5,8728,4.63,1,2.51153553983,0.0,0.0
516,J175522.2-282324,CX517 ,268.84283,0.24,-28.39001,0.17,5,8736,4.01,1,2.17343294532,0.0,0.0
517,J175503.6-274823,CX518 ,268.76511,0.55,-27.80645,0.22,5,8716,6.63,1,4.11886037246,0.0,0.0
518,J175443.6-274108,CX519 ,268.68203,0.34,-27.68574,0.38,5,8716,2.72,1,1.648335757,0.0,0.0
519,J175438.3-274749,CX520 ,268.65986,0.22,-27.79715,0.18,5,8716,4.07,1,2.20134294643,0.0,0.0
520,J175436.5-283434,CX521 ,268.65248,0.16,-28.57621,0.17,5,8735,2.47,1,1.57032186759,0.0,0.0
521,J175432.5-282918,CX522 ,268.63548,0.26,-28.48836,0.22,5,8735,3.29,1,1.85264966138,0.0,0.0
522,J175425.4-282246,CX523 ,268.60608,0.29,-28.37964,0.17,5,8725,4.58,1,2.4831252018,0.0,0.0
523,J175419.3-283654,CX524 ,268.58061,0.44,-28.61506,0.41,5,8735,6.48,1,3.96204628542,0.0,0.0
524,J175406.4-275546,CX525 ,268.52689,0.19,-27.92964,0.17,5,8715,0.76,1,1.17601478214,0.0,0.0
525,J175401.1-290042,CX526 ,268.50462,0.81,-29.01183,0.53,5,8733,7.19,1,4.74824291373,0.0,0.0
526,J175359.9-284815,CX527 ,268.49967,0.34,-28.80441,0.09,5,8734,4.3,1,2.32288845359,0.0,0.0
527,J175337.1-281016,CX528 ,268.40486,0.29,-28.17123,0.17,5,8714,2.3,1,1.51904929736,0.0,0.0
528,J175316.3-281917,CX529 ,268.31824,0.29,-28.32144,0.14,5,8713,2.52,1,1.58754866628,0.0,0.0
529,J175259.0-290524,CX530 ,268.2461,0.12,-29.09011,0.11,5,8732,3.1,1,1.78087359681,0.0,0.0
530,J175255.6-282722,CX531 ,268.23187,0.48,-28.45633,0.61,5,8713,7.63,1,5.31092372077,0.0,0.0
531,J175215.8-283416,CX532 ,268.06597,0.49,-28.57113,0.17,5,8712,4.37,1,2.36046833654,0.0,0.0
532,J175210.4-284730,CX533 ,268.04354,0.25,-28.79192,0.3,5,8711,3.99,1,2.16414203966,0.0,0.0
533,J175209.2-290721,CX534 ,268.0384,0.16,-29.12271,0.26,5,8721,2.47,1,1.57032186759,0.0,0.0
534,J175157.4-291758,CX535 ,267.9895,0.7,-29.29969,0.74,5,8731,7.5,1,5.142937951,0.0,0.0
535,J175115.5-292437,CX536 ,267.81482,0.1,-29.41031,0.28,5,8720,4.81,1,2.62553056882,0.0,0.0
536,J175113.7-293109,CX537 ,267.80714,0.19,-29.51939,0.22,5,7162,3.4,1,1.89784371533,0.0,0.0
537,J175054.0-294615,CX538 ,267.72524,0.41,-29.77102,0.26,5,8753,7.31,1,4.89615264956,0.0,0.0
538,J175023.1-293939,CX539 ,267.5965,0.19,-29.66091,0.33,5,8753,2.23,1,1.49365684406,0.0,0.0
539,J175016.9-301016,CX540 ,267.57077,0.19,-30.17119,0.35,5,8765,4.85,1,2.64458139746,0.0,0.0
540,J175010.6-300805,CX541 ,267.54448,0.19,-30.13483,0.17,5,8765,4.0,1,2.17343294532,0.0,0.0
541,J174944.0-292601,CX542 ,267.43366,0.2,-29.43379,0.21,5,7166,4.18,1,2.26667394387,0.0,0.0
542,J174932.7-294955,CX543 ,267.38635,0.49,-29.83214,0.32,5,8754,6.1,1,3.60048757362,0.0,0.0
543,J174914.4-294026,CX544 ,267.31013,0.47,-29.67399,0.09,5,9562,3.41,2,1.90691131619,0.0,0.0
544,J174851.1-301428,CX545 ,267.21316,0.19,-30.24121,0.14,5,8756,3.24,1,1.83464186364,0.0,0.0
545,J174848.4-300329,CX546 ,267.20203,0.76,-30.05814,0.34,5,8744,7.0,1,4.52171546737,0.0,0.0
546,J174845.2-304425,CX547 ,267.18866,0.16,-30.74045,0.22,5,8768,2.59,1,1.60483979506,0.0,0.0
547,J174843.6-305604,CX548 ,267.18204,0.62,-30.93449,0.21,5,8769,7.08,1,4.61031569069,0.0,0.0
548,J174755.7-301709,CX549 ,266.98234,0.32,-30.28608,0.18,5,8745,2.54,1,1.58754866628,0.0,0.0
549,J174729.2-260814,CX550 ,266.872,0.52,-26.13729,0.22,5,8652,4.67,1,2.53998243455,0.0,0.0
550,J174718.3-303037,CX551 ,266.82626,0.2,-30.51055,0.26,5,8746,2.06,1,1.45172682272,0.0,0.0
551,J174657.9-312035,CX552 ,266.7414,0.19,-31.34317,0.35,5,8771,3.15,1,1.79875255881,0.0,0.0
552,J174653.1-262016,CX553 ,266.72146,0.2,-26.33799,0.33,5,8651,4.19,1,2.26667394387,0.0,0.0
553,J174635.5-304817,CX554 ,266.6482,0.42,-30.8048,0.3,5,8747,6.87,1,4.37417543862,0.0,0.0
554,J174634.8-260308,CX555 ,266.64516,0.24,-26.05232,0.22,5,8664,4.35,1,2.35106587909,0.0,0.0
555,J174630.1-262204,CX556 ,266.62576,0.31,-26.36793,0.47,5,8651,3.83,1,2.09005042231,0.0,0.0
556,J174629.9-261004,CX557 ,266.6249,0.39,-26.16798,0.16,5,8663,3.74,1,2.04396936568,0.0,0.0
557,J174619.6-314411,CX558 ,266.58175,0.34,-31.73649,0.26,5,8773,5.47,1,3.07641199579,0.0,0.0
558,J174615.5-310858,CX559 ,266.56491,0.19,-31.14955,0.18,5,8760,5.17,1,2.86459609157,0.0,0.0
559,J174613.0-261646,CX560 ,266.55426,0.31,-26.27965,0.26,5,8663,4.96,1,2.72092094112,0.0,0.0
560,J174607.6-261547,CX561 ,266.53186,0.27,-26.26319,0.32,5,8663,4.3,1,2.32288845359,0.0,0.0
561,J174601.9-260631,CX562 ,266.50827,0.39,-26.10885,0.58,5,8674,7.82,1,5.577975508,0.0,0.0
562,J174556.3-262727,CX563 ,266.48482,0.35,-26.45764,0.17,5,8662,4.77,1,2.5969810873,0.0,0.0
563,J174550.2-314609,CX564 ,266.45945,0.34,-31.76924,0.26,5,8773,4.63,1,2.51153553983,0.0,0.0
564,J174533.3-260217,CX565 ,266.38913,0.1,-26.03806,0.09,5,8674,3.88,1,2.10853284722,0.0,0.0
565,J174528.1-264906,CX566 ,266.36726,0.2,-26.81848,0.33,5,8649,2.84,1,1.69219111445,0.0,0.0
566,J174520.9-254804,CX567 ,266.33741,0.18,-25.80134,0.11,5,9988,1.29,1,1.27417061959,0.0,0.0
567,J174519.8-310148,CX568 ,266.33251,0.19,-31.03019,0.22,5,8749,4.02,1,2.18273011795,0.0,0.0
568,J174515.5-255605,CX569 ,266.31496,0.6,-25.93489,0.47,5,9987,7.89,1,5.68685420666,0.0,0.0
569,J174507.4-310148,CX570 ,266.28093,0.41,-31.03022,0.26,5,8749,5.79,1,3.32810918809,0.0,0.0
570,J174506.4-312541,CX571 ,266.27674,1.14,-31.42819,0.76,5,8751,10.42,1,10.9893134803,0.0,0.0
571,J174505.8-261254,CX572 ,266.27418,0.18,-26.21513,0.17,5,8673,2.18,1,1.48523088031,0.0,0.0
572,J174502.0-263150,CX573 ,266.25874,0.33,-26.53068,0.31,5,8661,4.3,1,2.32288845359,0.0,0.0
573,J174500.5-260647,CX574 ,266.25236,0.51,-26.11318,0.76,5,9987,8.34,1,6.38061993601,0.0,0.0
